ts	phase	decision	why	evidence	result
2026-09-05T21:26:10Z	frame	Start from current master in an isolated worktree	Master includes earlier UI and ownership fixes; preserve the original dirty workspace	b4ad9aa; /Users/quinceycarter/Developer/petitionu-mvp	baseline selected
2026-09-05T21:31:40Z	design	Keep resource-owned authorization; derive campus from confirmed email	Two designs compared; custom access context duplicates Ash; server derives school membership	docs/mvp/design-review.md	selected A with report/request structure from B
2026-09-05T21:31:40Z	baseline	Run upstream tests against disposable PostgreSQL	Establish actual baseline before changes	/tmp/petitionu-mvp-baseline-tests.log	35 tests passed
2026-09-05T21:54:14Z	integration	Restrict user reads and retain safe public names	Anonymous activity must not be discoverable through inverse user relations; classroom managers still need roster names	lib/petitionu/accounts/user.ex; lib/petitionu/post/calculations/author.ex; lib/petitionu/post/classroom_membership.ex	Actor-scoped accounts, names-only calculations, invitation lookup after authorization
2026-09-05T21:54:14Z	deployment	Use Bun frozen installation in CI and release builds	Repository owns bun.lock and no npm package-lock; initial npm ci proposal was invalid	.github/workflows/ci.yml; scripts/build-release.sh	Isolated frozen install passed; full native release build running
2026-09-05T21:58:05Z	verification	Disable automatic mutation retries	Browser rejected-edit test observed a second write replacing the visible failure; user controls retries of submissions	assets/tests/master-audit.mjs; assets/js/app.tsx	Regression reproduced; retry disabled, rerun pending
2026-09-05T21:58:05Z	verification	Exercise packaged release with a disposable database	Compilation alone does not prove runtime config, migrations, or failure health response	scripts/release-smoke.py	Migrations ran twice; live health returned 200, unreachable database returned 503
2026-09-05T22:04:14Z	verification	Complete integrated feature checks before dependency refresh	All six implementation slices must coexist under the same policies and generated contract	test/petitionu; assets/tests/master-audit.mjs	91 precommit tests; TypeScript and assets build passed; all 21 mocked browser regression checks passed
2026-09-05T22:04:14Z	verification	Restart development server to load new mail runtime configuration	Real registration raised missing :email config after hot-reloading mail code into a server started before the config change	lib/petitionu/mailer.ex; config/runtime.exs	Restarted owned local server; real registration rerun pending
2026-09-05T22:04:14Z	security	Investigate existing vulnerable dependencies before launch verdict	Release dependency fetch reported RPC redaction and atom-exhaustion advisories in the existing lockfile	mix.lock; /tmp/petitionu-mvp-final-release-build.log	Dedicated isolated upgrade investigation running; no safety claim yet
2026-09-05T22:09:51Z	review	Close administrator inverse-activity leak missed by initial account restrictions	Independent reviewer reproduced anonymous ownership and signer lookup through admin User reads, superseding the initial privacy confidence	test/petitionu/accounts/activity_privacy_test.exs; lib/petitionu/accounts/user.ex	2 failing RPC regressions reproduced; 3 focused tests now pass including owner dashboard
2026-09-05T22:09:51Z	integration	Use actor-filtered inverse relationships for activity privacy	Ash rejects relationship fields in field policies; initial attempted shape did not compile and interrupted a browser run	lib/petitionu/accounts/user.ex; test/petitionu/accounts/activity_privacy_test.exs	Relationship rows actor-filtered; activity counters self-only; external filters/sorts disabled
2026-09-05T22:09:51Z	review	Remove one narrating comment after independent comment review	The calculation pipeline already expresses the anonymous-author exclusion and names-only lookup	lib/petitionu/post/calculations/author.ex	1 comment removed; moderation follow-up found no additional comments or suppressions
